,model,mae,rmse,r2,mae_avo,rmse_avo,r2_avo,mae_olive,rmse_olive,r2_olive,mae_grape,rmse_grape,r2_grape,mae_tr,rmse_tr,r2_tr,best_params
88,SPADI_SVR.pkl,0.02860026511867172,0.040050375900015894,-0.015300056848723376,0.02655054432041526,0.037662278160466564,0.25629296541707236,0.05010153842980879,0.05947765755183991,-0.48883983908228856,0.029856062543247682,0.03879773001233583,0.3380038504838836,0.025155585391224998,0.03709451704027328,0.5376161973430269,"{'SVR__C': 1, 'SVR__epsilon': 0.01, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
89,SPADI_XGB.pkl,0.02846826117967584,0.03900934387914812,0.006587371566673661,0.02733091995442381,0.037810723553965316,0.2504187879285046,0.052729082736005566,0.06193204343702478,-0.6142510910571595,0.030832367751475954,0.03982880856966563,0.3023502213678615,0.013766074489715811,0.0184567607127395,0.885529354016463,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 500, 'xgb__subsample': 0.6}"
90,SRWI2_MLP.pkl,0.06726670052449173,0.09031055010964026,0.5033857821687873,0.10587614388737486,0.12721283564652416,0.4525894927251384,0.1394323634713018,0.16710332091281016,-2.6713942038325644,0.04344241800240072,0.0615182448917716,0.5971774195776921,0.07265593329887642,0.0971812401796668,0.6285919089951495,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
91,SRWI2_RF.pkl,0.04750132803521479,0.0729830763024072,0.7384874967179393,0.086622603979147,0.11184047101975712,0.5768939480808908,0.1629659917698021,0.19131749736426998,-3.8124944156805327,0.0299725606547458,0.04739065436872301,0.7609485705987542,0.025339254915003783,0.04093834968794559,0.9340906317143437,"{'rf__max_depth': 30, 'rf__min_samples_split': 7, 'rf__n_estimators': 100}"
92,SRWI2_Ridge.pkl,0.06968716504661697,0.09316607053274986,0.5307514014985064,0.11386405513670673,0.1383832206378731,0.35223402808885707,0.14096150742942237,0.17386113588074412,-2.974347904369739,0.047098052983681825,0.059150233304500636,0.6275921234801066,0.07127134694358545,0.0961745751757294,0.6362466181796428,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
93,SRWI2_SVR.pkl,0.04910377038497929,0.07378279762218289,0.7490733507767154,0.08690593786819846,0.11555439007013264,0.5483269673565887,0.1679102816775866,0.19642781946749086,-4.073023187320981,0.027802270497709516,0.037353633543240936,0.8514845478950228,0.04601273243682898,0.06940557355438995,0.8105584748632693,"{'SVR__C': 10, 'SVR__epsilon': 0.05, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
94,SRWI2_XGB.pkl,0.046920813304270746,0.07177262607152915,0.7430709612423171,0.08816234793612941,0.11268533074350216,0.570477390067144,0.16099465316380085,0.18837125151195372,-3.6654130788970356,0.027109234791576193,0.04022712407079928,0.8277560787616427,0.015093413873383392,0.02174352146451599,0.981407137851386,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__subsample': 0.6}"
95,SWRI1_MLP.pkl,0.10773286820669915,0.15358818873872565,0.5746033211510366,0.18750051654080319,0.23377020839375642,0.39769080829037096,0.24993133583484084,0.3093354886700257,-2.7349728889423885,0.06001790858053069,0.08687060148297603,0.7464514624213694,0.10978578380476207,0.16002834395440424,0.6560617529176638,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01}"
96,SWRI1_RF.pkl,0.07863471649062409,0.12525071956040437,0.7426305354343408,0.15325562798113523,0.19761837528021786,0.569576661446962,0.2920825604972137,0.34353136089833014,-3.6063903573141216,0.044306181213284876,0.07180584479885754,0.8267652374923407,0.05387734457489692,0.08679069591638143,0.898834369411508,"{'rf__max_depth': 10, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}"
97,SWRI1_Ridge.pkl,0.11056075270357042,0.15744004422697017,0.5528698630636202,0.1980664657763086,0.24390820736685973,0.344316897718719,0.2409961962346611,0.30031997831786883,-2.520435620008605,0.0660177865721406,0.08704348329688658,0.7454412806693388,0.11569196907978706,0.1639798576480087,0.638866595880248,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'auto'}"
98,SWRI1_SVR.pkl,0.0845320792052165,0.1454310737266687,0.6492332359486692,0.1741444639268019,0.23946186753521936,0.368004634881126,0.2787764310572173,0.3362886266225057,-3.414203166018148,0.03775339560414185,0.055460353795797224,0.8966570810039456,0.06560435091304849,0.1206695899840729,0.8044389656341723,"{'SVR__C': 10, 'SVR__epsilon': 0.01, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
99,SWRI1_XGB.pkl,0.07950104881173682,0.12204171629890127,0.7341336077056949,0.1568812921006606,0.19576285184550443,0.5776215723262227,0.273807916538116,0.32356053964917225,-3.0863829249831305,0.044113081094746445,0.06384589436059529,0.8630438929171332,0.0583576972060952,0.0920606069517783,0.8861758753152054,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
